colors,R,G,B,color_mapped
#BCB88A,188,184,138,모카
#EED202,238,210,2,머스타드
#FF7800,255,120,0,오렌지
#FF6700,255,103,0,오렌지
#967117,150,113,23,올리브
#0067A5,0,103,165,블루
#FF91A4,255,145,164,코랄
#FA8072,250,128,114,코랄
#0F52BA,15,82,186,블루
#23297A,35,41,122,네이비
#C2B280,194,178,128,모카
#507D2A,80,125,42,카키
#0067A5,0,103,165,블루
#FF2400,255,36,0,레드
#FF91AF,255,145,175,핑크
#F4A460,244,164,96,코랄
#CBA135,203,161,53,카멜
#FFD800,255,216,0,옐로
#FC0FC0,252,15,192,마젠타
#2E8B57,46,139,87,카키
#778BA5,119,139,165,그레이
#FFF5EE,255,245,238,화이트
#00FFCD,0,255,205,터쿼이즈
#AAA9AD,170,169,173,라이트 그레이
#66FF66,102,255,102,민트
#59260B,89,38,11,카키
#009E60,0,158,96,그린
#8A795D,138,121,93,그레이
#704214,112,66,20,브라운
#FFBA00,255,186,0,머스타드
#5FA778,95,167,120,그레이
#FF6FFF,255,111,255,핑크
#D98695,217,134,149,모카
#8FD400,143,212,0,라임
#C0C0C0,192,192,192,라이트 그레이
#882D17,136,45,23,브라운
#C9C0BB,201,192,187,라이트 그레이
#CB410B,203,65,11,레드
#FF3855,255,56,85,레드
#ACACAC,172,172,172,라이트 그레이
#BFC1C2,191,193,194,라이트 그레이
#C4AEAD,196,174,173,라이트 그레이
#CF71AF,207,113,175,라벤더
#007474,0,116,116,블루
#FFDB00,255,219,0,옐로
#76D7EA,118,215,234,스카이블루
#100C08,16,12,8,블랙
#299617,41,150,23,그린
#708090,112,128,144,그레이
#6A5ACD,106,90,205,바이올렛
#C84186,200,65,134,마젠타
#807532,128,117,50,올리브
#893843,137,56,67,브라운
#757575,117,117,117,그레이
#1D2951,29,41,81,차콜
#FFFAFA,255,250,250,화이트
#E86100,232,97,0,오렌지
#0070B8,0,112,184,블루
#D10047,209,0,71,마젠타
#989898,152,152,152,그레이
#009150,0,145,80,그린
#F7BFBE,247,191,190,핑크
#00FFFF,0,255,255,터쿼이즈
#ECEBBD,236,235,189,베이지
#CC33CC,204,51,204,바이올렛
#5F8A8B,95,138,139,그레이
#E4D96F,228,217,111,모카
#E60026,230,0,38,레드
#A7FC00,167,252,0,라임
#87FF2A,135,255,42,라임
#007F5C,0,127,92,그린
#4C2882,76,40,130,퍼플
#4682B4,70,130,180,그레이
#007BB8,0,123,184,블루
#00FF7F,0,255,127,터쿼이즈
